timestamp,open,high,low,close,volume,return,vol_30,ATR_14,SMA_14,EMA_14,RSI_14,MACD,MACD_signal,BB_lower,BB_middle,BB_upper,cumulative_max,drawdown,risk_level
31-12-2020 16:33,28613.92,28643.7,28603.5,28637.25,31.012333,0.000814988,0.000842097,37.89995015,28673.24357,28660.83203,30.10195455,-15.35252573,-7.191239181,28579.29228,28658.9675,28738.64272,28811.85,-0.006060007,Medium
31-12-2020 16:34,28638.18,28680.73,28634.79,28657.75,42.78371,0.000715851,0.000836859,38.47423942,28670.08071,28660.42109,34.00068599,-14.23168681,-4.856320212,28579.90101,28659.4285,28738.95599,28811.85,-0.005348494,Medium
31-12-2020 16:35,28657.75,28694.71,28655.55,28666.51,22.303472,0.000305676,0.000826683,38.52322232,28669.73857,28661.23295,35.65236558,-12.49254878,-2.493745745,28587.5025,28662.5765,28737.6505,28811.85,-0.005044452,Medium
31-12-2020 16:36,28666.52,28691.71,28655.41,28676.14,15.520904,0.000335932,0.000830072,38.36442073,28669.895,28663.22056,37.50395951,-10.21940589,-0.176482285,28598.31001,28666.601,28734.89199,28811.85,-0.004710215,Low
31-12-2020 16:37,28676.14,28688.72,28662.59,28662.59,15.32043,-0.000472518,0.00081014,37.49053353,28669.775,28663.13648,35.93701763,-9.402904701,0.512015125,28607.18398,28669.4085,28731.63302,28811.85,-0.005180507,Medium
31-12-2020 16:38,28662.59,28671.9,28620,28620.01,27.401179,-0.00148556,0.000838885,38.51978114,28665.17571,28657.38628,31.4852368,-12.05273534,-1.71025241,28605.11546,28668.8825,28732.64954,28811.85,-0.006658371,Medium
31-12-2020 16:39,28620.01,28620.01,28502,28541.25,204.345089,-0.002751921,0.000966561,44.19765391,28651.83214,28641.90145,25.25362717,-20.27430937,-7.945461151,28576.90696,28662.483,28748.05904,28811.85,-0.009391969,Medium
31-12-2020 16:40,28544,28583.09,28540.56,28564.84,43.974186,0.000826523,0.000984017,44.07853578,28640.27643,28631.62659,29.73915506,-24.6028439,-9.819196546,28561.79879,28655.6235,28749.44821,28811.85,-0.008573209,Medium
31-12-2020 16:41,28564.83,28588.87,28542.77,28555,32.590933,-0.000344479,0.000984415,44.22292608,28628.76571,28621.40971,28.95851371,-28.49872886,-10.9720652,28546.17182,28649.8085,28753.44518,28811.85,-0.008914735,Medium
31-12-2020 16:42,28554.99,28590,28549.44,28590,28.890785,0.001225705,0.001004516,43.9612885,28622.42429,28617.22175,35.44908541,-28.43426575,-8.726081674,28539.32486,28645.611,28751.89714,28811.85,-0.007699957,Medium
31-12-2020 16:43,28590,28590.01,28561.6,28583,47.711026,-0.000244841,0.000994991,42.85048218,28618.26571,28612.65885,34.76497297,-28.6181278,-7.127954984,28532.09791,28641.5475,28750.99709,28811.85,-0.007942912,Medium
31-12-2020 16:44,28582.99,28586.77,28463.33,28490.3,111.137586,-0.003243187,0.001150429,48.60687631,28606.82071,28596.34433,27.26182168,-35.83091855,-11.47259659,28505.30397,28631.8425,28758.38103,28811.85,-0.011160339,Medium
31-12-2020 16:45,28490.31,28551.08,28470.56,28536.63,102.763634,0.001626168,0.001165537,50.88638515,28599.65714,28588.38242,34.83195846,-37.37779543,-10.41557877,28497.42808,28622.271,28747.11392,28811.85,-0.00955232,Medium
31-12-2020 16:46,28532.2,28549.98,28490.21,28549.07,27.623307,0.000435931,0.001168597,51.52092906,28595.02429,28583.14077,36.73584805,-37.17141354,-8.167357509,28494.6937,28613.3935,28732.0933,28811.85,-0.009120553,Medium
31-12-2020 16:47,28547.26,28547.26,28487.5,28514.46,43.504419,-0.001212299,0.001184313,52.23871984,28586.25357,28573.98333,33.77905776,-39.34702416,-8.274374503,28487.1233,28603.309,28719.4947,28811.85,-0.010321795,Medium
